id	news_url	title	tweet_ids
coaid_real_0	https://www.healthline.com/health-news/coronavirus-live-updates	Coronavirus Outbreak: Live Updates	1254966850108063745 1255516089796132869 1256222974312660995 1253939422862675970 1255708730794090497 1256367833346445312 1255586908467494912 1255510062765916160 1254891521603702784 1253856449509437442 1254104222452330496 1255719171037581319 1254376046104805378 1254181388972183553 1255174152711004160 1254611063485747200 1255501681808355329 1255967390271062017 1255515209239855105 1255060434505347072 1253773894726619141 1255103281656930304 1254441293087981574 1256319613068914688 1255807140436103169 1254779870984286208 1254532376878866434 1255346183121362946 1254887833367728134 1254058816066523137 1254061735276879872 1253803405140582401 1255515338294386693 1253744364762759168 1254889241017896960 1254269831576051712 1254076530290053121 1254667111689072640 1253801162328989697 1254310377015447552 1254818782528393217 1253693661881262080 1254730815268958208 1254681542724661249 1255573129302118401 1254653755351543808 1253803730283180035 1255783563749965824 1255195327403040772 1254265209520132098 1253804231737262080 1255538619189809152 1254006456673808384 1254478246642462720 1255113759238041600 1255000294003363840 1253893912860729349 1253800799517306880 1255523927851483136 1254848137358798848 1253906973130665985 1254606360429330433 1254890558851477504 1255930694225674240 1254886970242863111 1255509636905566209 1254768104535724032 1255554828236980224 1254131799069949952 1256213079823724544 1254060079264874496 1254442079012507649 1254106363082559489 1254891816215855106 1256239150749175809 1255339754901684226 1255702144159809536 1256115272114675712 1255511335405838339 1254026420608737281 1254115179232706560 1254992573527207937 1253704035426803714 1256128573854879744 1255524099448803332 1255133297102864386 1254888943780233217 1255038312479363072 1255373766936453120 1254808688562507778 1255824031657398278 1255134823535894530 1255457894897680388 1255039679365349376 1254064229142990848 1255521888140435458 1254602632917729280 1253804598273495043 1256322568367116290 1254173113677418496 1255509401038999553 1255509496799145986 1255464090123800576 1255209906904465411 1254891396898545664 1253800722208034816 1254059434134966272 1255816321079615490 1254062440125534208 1254361856191401984 1255406258636632070 1254566621391314944 1253895150729924609 1254831121541607424 1256224741276385283 1254993732375470080 1255173550765416449 1254749649396740097 1255510249727025152 1253802111470645249 1256694125744791552 1253897040343396354 1253759800921460736 1255169988920406017 1255559267173699587 1254413703660920834 1253801598985396224 1253804713520267264 1254311756379205632 1255249153317392387 1253998294235308032 1253800608718639104 1253694707206668289 1253915632145498112 1253800268300455936 1254715111538921472 1254314577438879744 1254448806600552449 1255356781590700032 1255424121078456327 1255473156833398786 1256285593346215936 1255725046431023107 1255719284732342275 1255350524150452227 1255827489571639296 1256271615731662853 1254881410382532610 1254450944873562120 1253801920629813248 1254304563462574080 1254108186682023937 1254948380251320322 1254269357737246722 1256223674677501952 1254062958734454786 1255516369858297856 1255510166377844742 1255828443851358208 1254892993456173056 1255462818859692034 1254920300967399426 1255395779277135872 1255722231432245249 1254760465311334408 1254180773046833153 1254905031293272065 1254582891482198017 1256081333669036032 1254115427141267463 1255079307648647173 1256252087874260994 1254443819614916608 1253804359407874048 1254477961065041920 1253911866079940612 1255723993493012490 1254274324992794624 1253790619086061571 1255428835342012417 1254969141850787845 1254715231311454208 1253775991656394752 1253802062288023553 1255822340082057222 1255136687824363523 1254891953184890880 1254774127887413256 1254855916228206592 1255484318069198849 1255139957217169419 1256213153941262341 1253917442767835136 1253693921882001410 1256155804853399552 1255899943216144385 1254453588958552064 1254936080010416128 1255509006791192577 1253809555386978304 1253933042852388864 1254696887791366147 1253802099881791490 1254889567984877568 1253802430967341057 1254698361392898049 1253836757885308929 1255525813535072257 1254792704514392064 1255488386263121927 1254760489680281602 1254636659297132544 1254053355984306176 1254888616943181825 1255880482266296321 1255317618183016448 1253738346326552576 1253801454126665729 1253844348262727680 1254947349715136516 1253804149294067717 1254785744922525700 1253708932499070977 1254619132051492865 1254062661249220609 1254452232516485121 1255511335384817664 1254079490617008128 1254862811370369024 1254891404419088385 1255239497282969600 1255835815479033859 1254410195163394049 1255201444690616320 1256268758152286210 1254955086830358529 1256267665984892937 1254007301188366337 1254889940925571072 1255560988239282176 1254764571388231680 1255134719265501185 1255816099829932032 1255014713190211584 1254225855938809856 1255631701688020992 1255193115482349569 1254408678213586950 1253805090827390977 1254914024744955904 1254794572250648578 1254464256436834305 1256223586949509120 1254799741638107136 1255709246056009737 1255048743373717506 1253774730819252225 1254738573452103681 1255323227947175936 1255322395231031301 1254677233521786880 1254734097018228736 1254483639007674370 1256249708164583424 1255996330687766535 1255100344549376002 1255847102980259840 1255591183918784512 1256195296851353600 1256083784686096385 1254764520901312517 1255519819887194112 1253817445451591680 1254921121360515072 1254793781779599360 1254689349322469376 1256251910274846720 1254279982932725760 1255140044026728448 1255221210306183169 1255522511170740229 1256226161509707777 1255706829738344449 1256328275564982272 1255399240249073666 1255881689341050880 1254201053622333440 1254555510470250496 1255627958502535171 1256038878391209986 1254476105895030792 1254411741087309825 1254011535330103296 1255043904728035328 1253805441739563008 1254919497468784642 1255906500654125057 1254253631341297667 1253856907971956739 1255523997976014849 1255719724584853509 1254905434659532811 1254970087372701701 1255139532195770374 1256208590274166786 1255172251323858947 1253958408056823808 1255756041008091137 1255512682482057221 1255756044745224192 1254799511618236416 1253946976741318657 1254265862741245952 1254134022059458566 1253963150140960768 1254197467077173248 1254792017508331523 1256246312573509632 1255254507925180416 1255878801986379782 1255287327074721793 1255595035979943936 1255207493338378245 1256188395379924992 1253725781429309440 1254891130564472832 1255043892652752896 1255486242591997954 1253724965632913409 1256221048846024704 1254598780474753025 1253722701136617477 1254993967852277760 1254888501012660224 1254734831340183552 1254782552667066369 1254452438775586816 1254954336238465024 1255471209304723459 1256370451800043521 1253964778671751170 1254893904404475909 1254555146471817217 1256180357839441920 1255534812041031681 1254065955333910536 1254636743359430657 1253803439328505863 1254896499483447297 1255872753653043202 1254888275489239042 1256271668835745793 1255800872266878976 1254889401940877322 1254766892897701889 1256057103476809728 1253843810326437888 1254888316152852480 1256267709077229568 1255157409338634240 1255092653752016896 1254617503369658369 1253804416613957638 1256035724563935233 1253801136211079168 1253801009924710400 1254891520223670272 1254631769392939008 1254161708236537861 1254555361769553920 1256222943396454414 1255523927092314112 1256203989831598081 1254994154238738433 1256213901965959169 1255705060119543809 1254888114977456128 1254259243080994816 1255837303932510211 1253806079873617923 1254518875615645702 1255815651148460032 1256118508351623168 1253883076020748289 1254388627510947840 1255172424745668608 1254890506129215488 1255713041305358336 1255177227051753472 1255929530314895365 1254954077110370304 1255422921285292039 1254269606719623169 1256088230526545925 1255521292096278528 1255133170468401153 1258537151483920384 1254888857046265861 1255463624124006400 1254057022527541251 1256205735131852800 1254888634185998336 1256226161694248960 1254558324298780673 1255114051375337473 1255136679209267200 1256087464168402945 1255149802829910019 1254621710751588353 1255344065144598529 1254274244453838848 1254065569139232768 1256071989510299649 1253804396057681921 1254090038620704771 1253948226174103553 1254786116370042880 1254735100534591488 1256213114980360193 1256107505756880896 1254764714845822977 1254196481030004743 1255821464093298690 1254889931538927616 1254824829376741376 1255521923322298369 1254096675162845184 1254789432802045957 1254741484584263680 1255591311064870913 1255955094408957954 1255194566233255938 1255919898842337282 1255745787763527681 1253880887382380544 1253803460627070978 1256278079745351680 1254750032726810625 1253801801549148160 1253722872960503808 1253804251098333185 1255510052628246534 1255339580192104449 1255327278512439296 1254796933455110153 1254955743930806272 1255408781996982273 1254957492410474497 1254792807124000768 1253769943088353280 1256062026260123648 1254780156968751110 1253885120831983616 1254892778179276801 1254822379383029762 1254663829235150848 1254482992132734978 1255526283322195969 1255721984169701377 1255726000886779904 1254788344933781515 1254525489181384704 1254888566527799296 1255693082340790279 1254949845074231296 1256229296542289922 1255314115771412481 1256229075687014400 1253723221855293441 1254891227297640449 1256223674685939713 1255134851545444355 1255138924873183241 1255031042001469442 1255345735362662401 1254005382592282624 1255754628689530880 1253809015555047426 1254057521729482752 1254893073072611330 1254891995111149568 1254776896476164096 1254734922583085057 1255545893148864513 1254764711163224066 1255716258223239169 1253805936986206213 1253805738637615113 1254254329801949185 1253688267658145794 1254799844759273472 1254473309523259393 1254267628383657984 1253715282771742728 1254772311284043776 1254469004325982208 1255602950199824384 1255525848045813768 1253768996475682816 1255710666138308616 1254095415248650246 1255919179984785410 1253800912885350421 1256203923947425797 1255159226042847234 1253801628207140864 1254887785611345920 1256319188794249216 1255897199939993608 1255915712037695492 1254061149257154561 1256203986853601280 1255425438345805826 1254891904241713155 1253805145797783552 1254888205515661313 1255542966955003905 1255115828594384896 1255328052093083648 1255426401475399680 1254888749307215873 1255134372811780099 1255255727033266176 1254402586268106753 1255521519301689347 1255738053341167616 1255507629360758788 1255328231022100481 1255587957609766913 1253942244354273281 1256259586991915015 1253701527543459840 1255143251935236096 1255591461485150209 1254890231498600448 1254925067001180161 1254239004184252416 1255142856466919427 1254964414123347968 1253689255626510340 1254156296879816705 1255458081644982272 1253946399617462273 1254474170370535425 1254635561316265984 1254489460659675139 1254279333381840897 1253801366327300098 1254254682538676224 1254717838507610122 1253801919820300288 1254264957929164800 1254029258244214785 1255944369548427265 1254888388332847104 1254774500878499840 1255243707927969801 1254066594017312768 1256223674597879809 1256216082693701633 1255914730939695109 1256249134492913664 1254986690692820993 1255373723101782018 1254888532176449537 1256151758511972352 1255129014034808836 1254891089028427778 1255510057313337344 1255537737454759938 1254890325350506497 1254795176767340549 1254240362241167367 1255855065417551873 1254162561135763456 1254888630713270272 1256271563432886278 1255388875641565184 1255829795713224709 1254801824902676480 1253907628024975360 1254945625319387139 1256182834865340417 1255591042738462723 1255146093668560897 1256225358455726086 1255510060266119170 1255404972595908610 1254678178393702401 1254950571888566272 1255187475728945152 1253852583162253313 1254609518736048130 1255329671824236548 1254271078563799040 1254249128910942208 1253688189589561344 1255525558575824902 1255069757478486018 1254897380052406273 1256198137078677504 1256198215692509187 1255616957828734982 1253829950106472450 1255620007943376897 1255933081514577920 1254679386525179905 1254547331556483072 1255710674203770880 1255484564786511884 1256412953395572736 1254925215324405760 1254306357953658880 1256336927483023360 1255417157304942597 1253801751368675328 1254345682196082688 1254757320074158081 1254747639247261698 1254185924474306561 1255026654537187330 1256306276927066113 1256185384050065408 1254789898218815488 1255346190125871108 1255871426575228928 1255914614661033986 1253852288747220993 1254444126046695433 1254084051192950787 1254764727718211586 1255773899830300675 1255735044116807682 1254794806737412097 1254258338335989760 1253689799019560964 1254835265123860482 1255510055019044867 1256244784597020673 1255623387839430662 1254166527743537152 1254764674630864897 1255729647972749318 1255466386769563648 1254615272050262019 1254902794412228608 1255719948363509765 1253804897876787201 1255771391544229888 1254043059546755076 1253689374656643072 1254086605381554176 1256229855525588994 1255149493290274822 1254645752183300103 1254669201320656896 1254529777819664384 1254071926139621380 1254800689236250624 1254889403974991872 1254686105561071616 1253801292352434177 1255525152747589641 1253694407322357763 1256229525689643008 1256184408794595330 1254055092648644608 1255908326266863616 1255014638812426241 1254415264000729089 1254443611850190849 1253774979692453889 1255732161740759041 1253802219511652353 1253754279648563201 1254999083296722944 1253807929347563520 1253710053556858880 1253801654882893824 1254890303774834688 1254940412344594433 1254888165900341248 1253876404934107137 1255907902579236865 1254616900803293185 1254480880623423489 1255356545929555968 1255094418903834624 1254890115081486336 1256087088556134400 1255905807960547329 1254892285894053889 1255157120267243520 1254061564719697920 1255557766762168325 1254736514954588165 1254066274520510464 1254534233219108864 1253802877090398208 1253800752910422017 1253924514305642497 1254773886417203201 1253804558221885440 1255882099061489666 1256154061801488384 1253691486908166145 1255715063601737730 1254478629767012354 1254888931738497026 1253902826935406593 1254101093824507904 1254339457886621697 1255526577162588160 1256068398083121153 1254971874934755330 1254071800696377346 1256076503651160064 1255742318927208454 1254619996690546688 1255386316717666304 1256299885256679426 1256237343171887107 1256116953728651265 1254256229272223746 1255224515996590084 1256325469474963461 1253850480234635264 1255134372933431297 1254817997266526210 1254458246015967233 1254714516857917441 1254635859678318592 1255095903855181824 1254890962968592389 1254047456410599424 1254890703596879872 1253803370596442113 1253709645090377729 1254145960890032132 1255756300832645120 1255342883776970753 1253703542214397952 1255525764918906886 1256149641248354304 1254954570935078912 1254720841440526336 1255365276885008388 1255506513776586758 1254530967164813312 1254508933709873153 1254900972704407553 1254182581052063745 1254756634657730565 1255754631910653952 1255028341578567683
coaid_real_1	https://www.healthline.com/health-news/screen-time-doesnt-hurt-kids-social-skills	Screen Time Doesn’t Hurt Kids’ Social Skills, Study Finds	1256214007595352065 1256565624152653830 1256279021811232769
coaid_real_2	https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19	Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19	1255854516219662337 1255960333069496320
coaid_real_3	https://www.healthline.com/health-news/heres-what-happens-to-the-body-after-contracting-the-coronavirus	Here’s What Happens to the Body After Contracting the New Coronavirus	1256280381034123264
coaid_real_4	https://www.healthline.com/health-news/why-you-should-be-skeptical-of-leaked-results-of-covid-19-drug	Why You Should Be Skeptical of Early Results of COVID-19 Drug	1252663722968932352
coaid_real_5	https://www.healthline.com/health-news/what-your-social-media-posts-reveal-about-how-youre-dealing-with-covid-19	What Your Social Media Posts Say About Your Stress Level Right Now	1256249060379578368 1256097726141534208 1255998960382234627 1255979636036599809 1256279351638679553 1255976561037258759 1256041567246331906
coaid_real_6	https://www.healthline.com/health-news/rural-america-hardest-hit-by-covid-19-outbreak	Rural America Could Be the Region Hardest Hit by the COVID-19 Outbreak	1244398966160187394 1245097608290406401 1244632164848873472 1244964803044691968 1251295865211322368 1244451078797774848 1251653592190119937 1251524099324682246 1251291375401910272 1251548339784413184 1251239085299183626 1251275092237127686 1248219287900348417 1251420901821812736 1247586533558956033 1248274176785272833 1244453395877916672 1252243762476089350 1251894460486565894 1251377240568262656 1244467121024720896 1244413008958222336
coaid_real_7	https://www.healthline.com/health-news/dont-use-unproven-medications-to-treat-covid-19	Experts Warning: Don’t Use Off-Label Medications for COVID-19 Treatment	1242878906060828672
coaid_real_8	https://www.healthline.com/health-news/effects-of-sunlight-coronavirus	Why Soaking Up the Sun to Treat COVID-19 Isn’t a Bright Idea	1255995991196667905 1256267639715803136 1255890778867499013 1256261279049752578 1255954281674559488 1255951922936246272 1256279397243301889
coaid_real_9	https://www.healthline.com/health-news/what-to-do-after-recovering-from-covid-19	What to Know About a Long Recovery Period After Surviving COVID-19	1256279543347732481 1255996235565150209
